    8857    8814    8928    1469
    9072    9036    9137    1411
    9225    9310    9234    1606
    9185    9127    1604   11705
    8916    8975    9054    1548
   11505    8559   11468    8746
    1688    8454    8437    8508
    1736    8267    8060   11215
    7862    1737    7886    7712
    7550    1829    7568   11118
   11142    7327    7067   11062
   10990    7018    1876   11099
   10829    6566    1971    6707
    6205   10740    6141    5968
    5751    5675   10510    5470
    5308    5372    5540    2063
    4360    2156   10252    4722
    4081    4217    3825    2204
    3067    2296    3147    3340
    2852    2460    2459    2851
    2995    2624    2852    2297
    2817    2422    2421    2816
     751    3102    3146    3349
   10149    4031    3907     893
   10257    4611    4659     894
    5000    5044    5041    1024
    5394    5302    5552     942
    5863   10745    6007    1033
    6446    1158   10841    6253
    6669    6849    6718    1081
    7101    7054    7219    1175
    7457    7417    7569    1292
    7745    7887    7783    1222
    8052    8183    8088    1314
    8367    8339    8455    1361
    8624    8591    8706    1470
    8929    8858   11639    8830
    9138    9073    9049    9100
    9120    9026    9175    9225
   11577    8979    8907    8841
    8753    1640    8758    8686
    8294    8495    8416    1786
    8184    8165   11312    8312
    7754    7953    7866    1826
    1828    7616    7549    7568
    7198    1919    7220    7065
   10846    6417    6567    1970
    2016    6093    6170   10749
    5752    2099    5930    5676
    5054   10403    5214    4948
    4359   10137    4823    5018
   10049   10048    4110   10092
    3223    3016    2295    9883
    2295    2666    2854    3067
    2664    2292    3749    2859
    2663      83    2468    2860
    3377    3148    3528    2198
    3822    3987   10062    3577
   10209    4193    2238    4411
    5055    4967    5191    2059
    2057    5124    5347    5523
    5636    5776    2105    5465
    6193    2010    5962    6095
    1963    6535    6686    6779
    1869    6918    6997    7171
    7157   10940    1926    7300
    1821    7634    7693    7842
    1729    7952    8059    8135
    8234    8296    1791   11369
    1680    8531    8616    8593
    8228    8295   11440    8133
    1612    7784    7692    7627
    7423   11151    7458    7617
    6995    1403    7102    7267
    6719    6672   10917    1477
    1356    6667    6558    6355
    6008    6060    5955   10694
    5336   10479    5395   10560
    4790    1299    4847    5103
    1168    4291    4547    4236
    1075    3628    3618    3433
    3195    3058    1165    3369
    2809    2414    2413    2808
     148    2626    2809    3058
    2627      54    2412    2807
    1165    2808    2627    3091
    2631    1166    2996    2806
    1166    3057    3149    9900
    1301    3530    3629    3972
   10246    4660    4938   10327
    5042    4939    5215    1307
    5553    5489    5700    1354
    5820    6009    5864    1479
    6230    6447    6306    1401
    6648    6850    6976    1491
    7103    7031    7221    1613
    7395    7570    7459    1539
    7888    7785    7722    7786
    8090    8033    8185    1679
    8249   11433    8268    8250
    7698    7945    7847    1818
   11279    7665    7445    7664
    7201    7302    1928   11149
    6685    6931    6823    1960
    6219    6533    6414    2007
    5927    6147    5831    2107
    5646    5353    5524    2106
    2055    4992    5144    5352
    4479    4263    4450    2147
    2195    3671    3532    3378
    2997    2865    2628    2288
    2864    2472    2471    2863
    2863    2471      84    2629
    2998    2629    2862    2290
    2862    2470    2469    2861
    3269    9889    3461    2199
    2998    2290    3148    3377
    2290    3097    3269    3330
    2630    3678    1027    2812
